Time [s],Channel 0,Channel 1,Channel 2,Channel 3,Channel 4
2.423955250,0,1,1,0,0
2.423955500,0,1,1,1,0
2.423955750,0,1,1,0,0
2.423956000,0,1,1,1,0
2.423956250,0,1,1,1,1
2.423958250,0,1,1,0,0
2.423958500,0,1,1,1,0
2.423958750,0,1,1,0,0
2.423959000,0,1,1,1,0
2.423959250,0,1,1,0,0
2.423959500,0,1,1,1,0
2.423959750,0,1,1,0,0
2.423960000,0,1,1,1,0
2.423960250,0,1,1,0,0
2.423960500,0,1,1,1,0
2.423960750,0,1,1,0,0
2.423961000,0,1,1,1,0
2.423961250,0,1,1,0,0
2.423961500,0,1,1,1,0
2.423961750,0,1,1,0,0
2.423962000,0,1,1,1,0
2.423962250,0,1,1,1,1
2.423964250,0,1,1,0,0
2.423964500,0,1,1,1,0
2.423964750,0,1,1,0,0
2.423965000,0,1,1,1,0
2.423965250,0,1,1,0,0
2.423965500,0,1,1,1,0
2.423965750,0,1,1,0,0
2.423966000,0,1,1,1,0
2.423966250,0,1,1,0,0
2.423966500,0,1,1,1,0
2.423966750,0,1,1,0,0
2.423967000,0,1,1,1,0
2.423967250,0,1,1,0,0
2.423967500,0,1,1,1,0
2.423967750,0,1,1,0,0
2.423968000,0,1,1,1,0
2.423968250,0,1,1,1,1
2.423970250,0,1,1,0,0
2.423970500,0,1,1,1,0
2.423970750,0,1,1,0,0
2.423971000,0,1,1,1,0
2.423971250,0,1,1,0,0
2.423971500,0,1,1,1,0
2.423971750,0,1,1,0,0
2.423972000,0,1,1,1,0
2.423972250,0,1,1,0,0
2.423972500,0,1,1,1,0
2.423972750,0,1,1,0,0
2.423974000,0,1,1,1,0
2.423974250,0,1,1,1,1
2.423975000,0,1,0,1,1
2.423975500,1,1,0,1,1
2.423976750,0,1,0,1,1
2.423980000,0,1,0,0,1
2.423980750,0,1,0,0,0
2.423981250,0,1,0,0,1
2.423981750,0,1,0,0,0
2.423982250,0,1,0,0,1
2.423984000,0,1,0,1,1
2.423985250,1,1,0,1,1
2.424011750,0,1,0,1,1
2.424014500,0,1,0,0,0
2.424014750,0,1,0,1,0
2.424015000,0,1,0,0,1
2.424015250,0,1,0,1,1
2.424015500,0,1,0,0,0
2.424015750,0,1,0,1,0
2.424016000,0,1,0,0,0
2.424016250,0,1,0,1,0
2.424016500,0,1,0,0,0
2.424016750,0,1,0,1,0
2.424017000,0,1,0,0,0
2.424017250,0,1,0,1,0
2.424017500,0,1,0,0,0
2.424017750,0,1,0,1,0
2.424018000,0,1,0,0,0
2.424018250,0,1,0,1,0
2.424018500,0,1,0,1,1
2.424020500,0,1,0,0,1
2.424020750,0,1,0,1,1
2.424021000,0,1,0,0,0
2.424021250,0,1,0,1,0
2.424021500,0,1,0,0,1
2.424021750,0,1,0,1,1
2.424022000,0,1,0,0,1
2.424022250,0,1,0,1,1
2.424022500,0,1,0,0,0
2.424022750,0,1,0,1,0
2.424023000,0,1,0,0,0
2.424023250,0,1,0,1,0
2.424023500,0,1,0,0,1
2.424023750,0,1,0,1,1
2.424024000,0,1,0,0,1
2.424024250,0,1,0,1,1
2.424026500,0,1,0,0,0
2.424026750,0,1,0,1,0
2.424027000,0,1,0,0,0
2.424027250,0,1,0,1,0
2.424027500,0,1,0,0,0
2.424027750,0,1,0,1,0
2.424028000,0,1,0,0,1
2.424028250,0,1,0,1,1
2.424028500,0,1,0,0,0
2.424028750,0,1,0,1,0
2.424029000,0,1,0,0,0
2.424029250,0,1,0,1,0
2.424029500,0,1,0,0,0
2.424029750,0,1,0,1,0
2.424030000,0,1,0,0,0
2.424030250,0,1,0,1,0
2.424030500,0,1,0,1,1
2.424032500,0,1,0,0,0
2.424032750,0,1,0,1,0
2.424033000,0,1,0,0,0
2.424033250,0,1,0,1,0
2.424033500,0,1,0,0,0
2.424033750,0,1,0,1,0
2.424034000,0,1,0,0,0
2.424034250,0,1,0,1,0
2.424034500,0,1,0,0,0
2.424034750,0,1,0,1,0
2.424035000,0,1,0,0,0
2.424035250,0,1,0,1,0
2.424035500,0,1,0,0,0
2.424035750,0,1,0,1,0
2.424036000,0,1,0,0,0
2.424036250,0,1,0,1,0
2.424036500,0,1,0,1,1
2.424037000,1,1,0,1,1
2.424039250,0,1,0,1,1
2.424039750,0,1,1,1,1
2.425135000,0,1,1,0,1
2.425135250,0,1,1,0,0
2.425139000,0,1,1,1,0
2.425139250,0,1,1,1,1
2.425141000,0,1,1,0,1
2.425141250,0,1,1,0,0
2.425142750,0,1,1,1,0
2.425143000,0,1,1,0,0
2.425143250,0,1,1,1,0
2.425143500,0,1,1,0,0
2.425143750,0,1,1,1,0
2.425144000,0,1,1,0,0
2.425144250,0,1,1,1,0
2.425144500,0,1,1,0,0
2.425144750,0,1,1,1,0
2.425145000,0,1,1,1,1
2.425147000,0,1,1,0,0
2.425147250,0,1,1,1,0
2.425147500,0,1,1,0,0
2.425147750,0,1,1,1,0
2.425148000,0,1,1,0,0
2.425148250,0,1,1,1,0
2.425148500,0,1,1,0,0
2.425148750,0,1,1,1,0
2.425149000,0,1,1,0,0
2.425149250,0,1,1,1,0
2.425149500,0,1,1,0,0
2.425149750,0,1,1,1,0
2.425150000,0,1,1,0,0
2.425150250,0,1,1,1,0
2.425150500,0,1,1,0,0
2.425150750,0,1,1,1,0
2.425151000,0,1,1,1,1
2.425153000,0,1,1,0,0
2.425153250,0,1,1,1,0
2.425153500,0,1,1,0,0
2.425153750,0,1,1,1,0
2.425154000,0,1,1,0,0
2.425154250,0,1,1,1,0
2.425154500,0,1,1,0,0
2.425154750,0,1,1,1,0
2.425155000,0,1,1,0,0
2.425155250,0,1,1,1,0
2.425155500,0,1,1,0,0
2.425155750,0,1,1,1,0
2.425156000,0,1,1,0,0
2.425156250,0,1,1,1,0
2.425156500,0,1,1,0,0
2.425156750,0,1,1,1,0
2.425157000,0,1,1,1,1
2.425159000,0,1,1,0,0
2.425159250,0,1,1,1,0
2.425159500,0,1,1,0,0
2.425159750,0,1,1,1,0
2.425160000,0,1,1,0,0
2.425160250,0,1,1,1,0
2.425160500,0,1,1,0,0
2.425160750,0,1,1,1,0
2.425161000,0,1,1,0,0
2.425161250,0,1,1,1,0
2.425161500,0,1,1,0,0
2.425161750,0,1,1,1,0
2.425162000,0,1,1,0,0
2.425162250,0,1,1,1,0
2.425162500,0,1,1,0,0
2.425162750,0,1,1,1,0
2.425163000,0,1,1,1,1
2.425165000,0,1,1,0,0
2.425165250,0,1,1,1,0
2.425165500,0,1,1,0,0
2.425165750,0,1,1,1,0
2.425166000,0,1,1,0,0
2.425166250,0,1,1,1,0
2.425166500,0,1,1,0,0
2.425166750,0,1,1,1,0
2.425167000,0,1,1,0,0
2.425167250,0,1,1,1,0
2.425167500,0,1,1,0,0
2.425167750,0,1,1,1,0
2.425168000,0,1,1,0,0
2.425168250,0,1,1,1,0
2.425168500,0,1,1,0,0
2.425168750,0,1,1,1,0
2.425169000,0,1,1,1,1
2.425171000,0,1,1,0,0
2.425171250,0,1,1,1,0
2.425171500,0,1,1,0,0
2.425171750,0,1,1,1,0
2.425172000,0,1,1,0,0
2.425172250,0,1,1,1,0
2.425172500,0,1,1,0,0
2.425172750,0,1,1,1,0
2.425173000,0,1,1,0,0
2.425173250,0,1,1,1,0
2.425173500,0,1,1,0,0
2.425173750,0,1,1,1,0
2.425174000,0,1,1,0,0
